Order_ID,Date,Campaign_ID,Order_Value,Status,RTO_Reason,Shipping_Cost,Customer_City,Payment_Method
ORD_10001,2024-11-01,CMP_013,525.34,Returned,Product Damaged,40.24,Lucknow,COD
ORD_10002,2024-11-01,CMP_013,3756.82,CANCELLED,,42.9,Jaipur,COD
ORD_10003,2024-11-01,CMP_013,1528.82,Returned,Fake Order,70.61,Ahmedabad,Prepaid
ORD_10004,2024-11-01,CMP_013,1491.08,Returned,Product Damaged,48.79,Kolkata,COD
ORD_10005,2024-11-01,CMP_013,1451.07,Dlvrd,,75.48,Pune,COD
ORD_10006,2024-11-01,CMP_013,1332.6,DELIVERED,,40.2,Lucknow,Prepaid
ORD_10007,2024-11-01,CMP_013,1920.47,DELIVERED,,69.93,Pune,COD
ORD_10008,2024-11-01,CMP_013,1468.9,rto,Wrong Address,47.36,Lucknow,Prepaid
ORD_10009,2024-11-01,CMP_013,772.04,cancelled,,74.09,Jaipur,Prepaid
ORD_10010,2024-11-01,CMP_013,609.72,RTO,Fake Order,43.93,Lucknow,Prepaid
ORD_10011,2024-11-01,CMP_013,3071.42,Returned,Wrong Address,44.0,Lucknow,COD
ORD_10012,2024-11-01,CMP_013,2953.36,Return to Origin,Product Damaged,66.38,Lucknow,COD
ORD_10013,2024-11-01,CMP_013,1046.74,DELIVERED,,57.13,Mumbai,Prepaid
ORD_10014,2024-11-01,CMP_013,832.29,CANCELLED,,57.44,Pune,COD
ORD_10015,2024-11-01,CMP_013,997.34,Return to Origin,Customer Not Reachable,54.35,Chennai,Prepaid
ORD_10016,2024-11-01,CMP_013,763.66,Returned,Fake Order,74.35,Bangalore,COD
ORD_10017,2024-11-01,CMP_013,1600.32,Return to Origin,Customer Changed Mind,43.02,Mumbai,COD
ORD_10018,2024-11-01,CMP_013,1718.96,Returned,Product Damaged,48.51,Mumbai,COD
ORD_10019,2024-11-01,CMP_013,1840.98,rto,Customer Changed Mind,71.01,Pune,Prepaid
ORD_10020,2024-11-01,CMP_013,₹ 1658.22,Cancelled,,51.64,Ahmedabad,COD
ORD_10021,2024-11-01,CMP_013,1095.18,RTO,Customer Changed Mind,49.56,Lucknow,COD
ORD_10022,2024-11-01,CMP_013,1271.21,Returned,Wrong Address,62.65,Lucknow,COD
ORD_10023,2024-11-01,CMP_013,2438.6,cancelled,,77.57,Mumbai,COD
ORD_10024,2024-11-01,CMP_013,2695.25,delivered,,49.36,Hyderabad,COD
ORD_10025,2024-11-01,CMP_015,1204.51,delivered,,41.86,Pune,COD
ORD_10026,2024-11-01,CMP_015,3564.12,Cancel,,73.39,Chennai,COD
ORD_10027,2024-11-01,CMP_015,760.77,Return to Origin,Fake Order,63.51,Delhi,COD
ORD_10028,2024-11-01,CMP_015,1959.01,Delivered,,56.23,Pune,Prepaid
ORD_10029,2024-11-01,CMP_015,4661.52,delivered,,75.28,Ahmedabad,COD
ORD_10030,2024-11-01,CMP_015,1271.81,Dlvrd,,46.01,Bangalore,Prepaid
ORD_10031,2024-11-01,CMP_015,1725.43,Return to Origin,Customer Not Reachable,72.45,Delhi,Prepaid
ORD_10032,2024-11-01,CMP_015,1218.53,Delivered,,65.89,Kolkata,COD
ORD_10033,2024-11-01,CMP_015,691.83,DELIVERED,,45.39,Jaipur,COD
ORD_10034,2024-11-01,CMP_015,2440.6,Dlvrd,,76.9,Jaipur,Prepaid
ORD_10035,2024-11-01,CMP_015,1345.41,Delivered,,68.78,Chennai,COD
ORD_10036,2024-11-01,CMP_015,1409.79,DELIVERED,,59.27,Hyderabad,Prepaid
ORD_10037,2024-11-01,CMP_015,1691.92,Cancel,,47.28,Jaipur,Prepaid
ORD_10038,2024-11-01,CMP_015,1528.39,Cancelled,,63.86,Delhi,COD
ORD_10039,2024-11-01,CMP_015,698.32,delivered,,60.91,Jaipur,COD
ORD_10040,2024-11-01,CMP_015,724.34,DELIVERED,,59.03,Lucknow,COD
ORD_10041,2024-11-01,CMP_015,1675.8,delivered,,44.7,Ahmedabad,COD
ORD_10042,2024-11-01,CMP_015,1405.21,cancelled,,75.88,Kolkata,COD
ORD_10043,2024-11-01,CMP_015,1812.24,Returned,Customer Not Reachable,49.18,Ahmedabad,Prepaid
ORD_10044,2024-11-01,CMP_015,1706.93,CANCELLED,,73.49,Lucknow,COD
ORD_10045,2024-11-01,CMP_015,881.78,Cancel,,76.4,Delhi,Prepaid
ORD_10046,2024-11-01,CMP_015,1315.6,Delivered,,40.22,Mumbai,COD
ORD_10047,2024-11-01,CMP_015,1279.64,delivered,,48.22,Pune,Prepaid
ORD_10048,2024-11-01,CMP_015,732.17,Returned,Fake Order,50.45,Jaipur,Prepaid
ORD_10049,2024-11-01,CMP_015,1417.82,CANCELLED,,55.9,Hyderabad,Prepaid
ORD_10050,2024-11-01,CMP_015,1336.34,Delivered,,62.36,Ahmedabad,Prepaid
ORD_10051,2024-11-01,CMP_015,3732.95,cancelled,,55.93,Bangalore,COD
ORD_10052,2024-11-01,CMP_015,844.66,Cancel,,77.97,Delhi,COD
ORD_10053,2024-11-01,CMP_015,1679.12,cancelled,,64.56,Mumbai,COD
ORD_10054,2024-11-01,CMP_015,1453.81,cancelled,,72.93,Ahmedabad,COD
ORD_10055,2024-11-01,CMP_015,596.12,delivered,,43.2,Mumbai,COD
ORD_10056,2024-11-01,CMP_015,1976.67,Dlvrd,,60.84,Lucknow,COD
ORD_10057,2024-11-01,CMP_015,4460.69,delivered,,57.56,Hyderabad,COD
ORD_10058,2024-11-01,CMP_015,3554.46,DELIVERED,,71.36,Jaipur,COD
